1	29	1	A	10	
1	35	1	A	10	
2	55	1	A	10	
2	47	1	A	10	
3	70	1	A	10	
3	68	1	A	10	
0	0	1	0	0	
1	28	1	A	10	
1	25	1	A	10	
2	60	1	A	10	
2	54	1	A	10	
3	72	1	A	10	
3	82	1	A	10	
0	0	1	0	0	
1	43	1	A	10	
1	25	1	A	10	
2	48	1	A	10	
2	57	1	A	10	
3	83	1	A	10	
3	72	1	A	10	
0	0	1	0	0	
1	28	1	A	10	
1	41	1	A	10	
1	31	1	A	10	
2	45	1	A	10	
2	64	1	A	10	
2	46	1	A	10	
3	73	1	A	10	
3	78	1	A	10	
0	0	1	0	0	
0	3	1	A	10	
0	18	1	A	10	
0	2	1	A	10	
1	29	1	A	10	
3	80	1	A	10	
0	0	1	0	0	
0	13	1	A	10	
0	15	1	A	10	
0	12	1	A	10	
1	32	1	A	10	
1	39	1	A	10	
3	86	1	P	5	
0	0	1	0	0	
0	20	1	A	10	
0	22	1	A	10	
0	3	1	A	10	
1	28	1	A	10	
3	85	1	A	10	
0	0	1	0	0	
0	21	1	A	10	
0	13	1	A	10	
0	3	1	A	10	
1	41	1	A	10	
3	69	1	A	10	
0	0	1	0	0	
3	69	1	D	10	
3	85	1	D	10	
0	0	1	0	0	
3	80	1	D	10	
0	0	1	0	0	
0	4	1	P	5	
3	78	1	D	10	
3	73	1	D	10	
0	0	1	0	0	
0	3	1	D	10	
3	72	1	D	10	
0	0	1	0	0	
0	10	1	A	10	
0	6	1	A	10	
1	39	1	A	10	
2	61	1	A	10	
2	64	1	A	10	
3	70	1	A	10	
0	0	1	0	0	
1	31	1	A	10	
2	46	1	A	10	
3	68	1	P	5	
0	0	1	0	0	
0	14	1	A	10	
0	15	1	A	10	
0	13	1	A	10	
1	35	1	A	10	
2	49	1	A	10	
3	77	1	A	10	
0	0	1	0	0	
0	12	1	A	10	
1	37	1	A	10	
1	24	1	A	10	
2	61	1	A	10	
3	71	1	P	5	
0	0	1	0	0	
0	14	1	A	10	
1	24	1	D	10	
2	58	1	A	10	
3	77	1	D	10	
0	0	1	0	0	
0	2	1	A	10	
1	41	1	P	5	
2	45	1	P	5	
3	70	1	D	10	
0	0	1	0	0	
0	4	1	A	10	
1	37	1	D	10	
2	54	1	P	5	
3	83	1	D	10	
0	0	1	0	0	
0	5	1	A	10	
1	35	1	D	10	
2	59	1	P	5	
3	72	1	P	5	
0	0	1	0	0	
0	18	1	P	5	
1	30	1	P	5	
2	63	1	P	5	
3	84	1	A	10	
3	77	1	A	10	
0	0	1	0	0	
0	5	1	D	10	
1	31	1	D	10	
2	58	1	D	10	
3	78	1	A	10	
0	0	1	0	0	
3	79	1	A	10	
0	0	1	0	0	
0	9	1	P	5	
1	39	1	D	10	
2	62	1	P	5	
3	77	1	A	10	
3	81	1	A	10	
0	0	1	0	0	
0	11	1	A	10	
1	33	1	A	10	
2	61	1	D	10	
0	0	1	0	0	
1	26	1	A	10	
2	49	1	D	10	
0	0	1	0	0	
0	19	1	A	10	
2	46	1	D	10	
2	64	1	D	10	
0	0	1	0	0	
1	41	1	A	10	
2	61	1	D	10	
0	0	1	0	0	
0	19	1	D	10	
1	43	1	P	5	
2	56	1	A	10	
3	81	1	D	10	
0	0	1	0	0	
0	11	1	D	10	
0	4	1	D	10	
1	41	1	D	10	
3	77	1	D	10	
0	0	1	0	0	
0	2	1	D	10	
1	30	1	P	5	
2	10	1	A	10	
3	79	1	D	10	
0	0	1	0	0	
0	14	1	D	10	
1	26	1	D	10	
2	45	1	A	10	
2	52	1	A	10	
3	78	1	D	10	
0	0	1	0	0	
0	12	1	D	10	
0	13	1	D	10	
1	33	1	D	10	
2	63	1	A	10	
0	0	1	0	0	
0	15	1	D	10	
0	14	1	D	10	
1	41	1	D	10	
2	51	1	A	10	
2	49	1	A	10	
0	0	1	0	0	
0	6	1	D	10	
0	10	1	D	10	
1	28	1	D	10	
3	83	1	P	20	
0	0	1	0	0	
0	13	1	D	10	
0	21	1	D	10	
1	39	1	D	10	
2	54	1	A	10	
0	0	1	0	0	
0	3	1	D	10	
0	22	1	D	10	
1	32	1	D	10	
1	29	1	D	10	
2	54	1	D	10	
2	49	1	D	10	
2	51	1	D	10	
3	87	1	P	20	
0	0	1	0	0	
0	20	1	D	10	
0	12	1	D	10	
1	31	1	D	10	
2	63	1	D	10	
2	52	1	D	10	
2	45	1	D	10	
3	77	1	D	10	
0	0	1	0	0	
0	15	1	D	10	
0	13	1	D	10	
1	41	1	D	10	
2	10	1	D	10	
2	56	1	D	10	
2	46	1	D	10	
3	68	1	P	30	
0	0	1	0	0	
0	2	1	D	10	
0	18	1	D	10	
1	28	1	D	10	
1	25	1	D	10	
2	64	1	D	10	
2	45	1	D	10	
2	57	1	D	10	
3	84	1	D	10	
3	78	1	P	30	
0	0	1	0	0	
1	43	1	D	10	
2	48	1	D	10	
0	0	1	0	0	
1	37	1	P	30	
2	10	1	P	30	
0	0	1	0	0	
0	11	1	P	30	
1	32	1	P	30	
2	51	1	P	30	
0	0	1	0	0
